offset,text
1,"The greatest night in the history of #Chelsea football club. Beaten Bayern the hard way in their own back yard. Miracle from Di Matteo."
1,"It's our name on the trophy. #LondonsFirstLondonsFinest. A date with destiny."
1,"He's done iiiiiiiiitttttt https://vine.co/v/eAXq1HK37XU."
1,"#Chelsea CHAMPIONS OF EUROPE!"
1,"Drogba runs to Cech. They don't know what to do. Too tired? Shocked? Tearful coach, tearful players. Drogba hugging Lampard and Terry."
1,"10th major trophy in 8 seasons. Led by Lampard and Drogba, what a moment. Cole and Di Matteo hug."
5,"You know it's a good night when Ivanovic is sat on the crossbar."
5,"Thank you & good night."
1,"See you next year."
1,"[ad] If you want £50 credit for changing energy supplier to #OctopusEnergy you can sign-up here http://share.octopus.energy/ideal-ant-315"
1,"[ad] Invest in stocks and ETFs commission-free. Sign up and get a free share worth up to £200 to get started. https://freetrade.io/freeshare/?code=E68IV017GX&sender=Biomc1pQ "
1,"[ad] Use Wealthify to start easily investing towards your goals. Use this link and we’ll both get £25 cashback! https://invest.wealthify.com/refer/14884798"

